site,Abra alba,Acanthodoris pilosa,Actinia equina,Alcyonidium polyoum,Amauropsis islandica,Ampharete acutifrons,Ampharete baltica,Ampithoe rubricata,Arctica islandica,Arenicola marina,Aricidea cerrutii,Aricidea suecica,Astarte borealis,Astarte elliptica,Astarte montagui,Asterias rubens,Balanus crenatus,Balanus improvisus,Bathyporeia pilosa,Bougainvillia ramosa,Bowerbankia gracilis,Brada villosa,Bylgides sarsi,Callipallene brevirostris,Callopora lineata,Capitella capitata,Carcinus maenas,Cephalothrix,Cerastoderma glaucum,Chaetozone setosa,Chironomidae,Ciona intestinalis,Cirrophorus eliasoni,Clava multicornis,Clytia hemisphaerica,Corbula gibba,Corophium crassicorne,Corophium insidiosum,Corophium volutator,Coryne tubulosa,Crangon crangon,Cribrilina punctata,Cyathura carinata,Dendrodoa grossularia,Dexamine spinosa,Diaphana minuta,Diastylis rathkei,Dynamena pumila,Dyopedos monacantha,Edwardsia danica,Electra crustulenta,Electra pilosa,Eteone (Mysta) barbata,Eteone flava,Eteone longa,Euchone papillosa,Eucratea loricata,Eudendrium,Eudorella truncatula,Eulalia bilineata,Eulalia viridis,Eumida sanguinea,Fabricia stellaris,Fabriciola baltica,Facelina bostoniensis,Farrella repens,Flustra foliacea,Gammarellus homari,Gammarus oceanicus,Gammarus salinus,Gammarus zaddachi,Garveia franciscana,Gastrosaccus spinifer,Glycera alba,Gonothyraea loveni,Halacaridae,Halcampa duodecimcirrata,Halichondria panicea,Haliclona (Haliclona) oculata,Haliclona limbata,Halicryptus spinulosus,Halisarca dujardinii,Halitholus yoldiaarcticae,Harmothoe imbricata,Harmothoe impar,Hartlaubella gelatinosa,Hediste diversicolor,Heteromastus filiformis,Hiatella arctica,Hydrobia ulvae,Hyperia galba,Idotea balthica,Idotea chelipes,Jaera albifrons,Lacuna parva,Lafoeina tenuis,Lagis koreni,Lamellidoris muricata,Laomedea flexuosa,Lepidonotus squamatus,Leucosolenia,Levinsenia gracilis,Lineus ruber,Littorina littorea,Loxosomella,Macoma balthica,Malacobdella grossa,Malacoceros,Maldanidae,Marenzelleria neglecta,Mediomastus fragilis,Melicertum octocostatum,Melita palmata,Metridium senile,Microdeutopus gryllotalpa,Microphthalmus aberrans,Molgula manhattensis,Monoporeia affinis,Mucronella immersa,Musculus discors,Musculus marmoratus,Mya arenaria,Mya truncata,Mysella bidentata,Mysis mixta,Mytilus edulis,Nais elinguis,Nassarius reticulatus,Neanthes succinea,Neanthes virens,Nemertina,Neoamphitrite figulus,Neomysis integer,Nephtys,Nephtys caeca,Nephtys ciliata,Nephtys hombergii,Nephtys kersivalensis,Nephtys longosetosa,Nephtys pente,Nereimyra punctata,Nereis pelagica,Nicolea zostericola,Nymphon brevirostre,Odostomia rissoides,Oligochaeta,Onoba semicostata,Opercularella lacerata,Opercularella pumila,Ophelia limacina,Ophiura albida,Palaemon elegans,Paranais litoralis,Paraonis fulgens,Parvicardium ovale,Perigonimus,Phaxas pellucidus,Pherusa plumosa,Philine aperta,Pholoe,Pholoe assimilis,Pholoe baltica,Pholoe inornata,Phoxocephalus holbolli,Phtisica marina,Phyllodoce,Phyllodoce (Anaitides) maculata,Phyllodoce (Anaitides) mucosa,Polycirrus medusa,Polydora,Polydora (Polydora) quadrilobata,Polydora caeca,Polydora caulleryi,Polydora ciliata,Polydora cornuta,Pontoporeia femorata,Praunus flexuosus,Praunus inermis,Priapulus caudatus,Prionospio steenstrupi,Prostoma obscura,Pseudopolydora antennata,Pseudopolydora pulchra,Pusillina inconspicua,Pygospio elegans,Rathkea octopunctata,Retusa obtusa,Retusa truncatula,Saduria entomon,Scalibregma inflatum,Scoloplos armiger,Sertularia cupressina,Sphaerodoropsis baltica,Sphaerodorum flavum,Sphaeroma hookeri,Spio filicornis,Spio goniocephala,Spio martinensis,Streblospio dekhuyzeni,Streptosyllis websteri,Styela coriacea,Terebellides stroemii,Travisia forbesii,Trochochaeta multisetosa,Tubifex costatus,Tubificoides benedeni,Tubularia,Turbellaria,Urticina felina,Valkeria uva,Verticillina verticillata
site_54.03_11.37,0.0,0.0,0.0,0.0,0.0,0.0,507.0,51.0,5.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,357.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,3.0,0.0,1.0,91.0,259.0,0.0,6742.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,2589.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.0,122.0,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2031.0,0.0,3.0,6.0,0.0,0.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
site_54.06_11.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
site_54.11_11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,91.0,0.0,0.0,0.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
site_54.18_11.75,13632.0,0.0,0.0,3.0,0.0,23.0,395.0,4.0,1887.0,23.0,7.0,45.0,168.0,39.0,0.0,47.0,2.0,0.0,4.0,1.0,1.0,0.0,1126.0,0.0,6.0,89.0,1.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,480.0,8.0,1.0,0.0,1.0,13.0,0.0,0.0,8.0,0.0,3.0,13075.0,1.0,0.0,70.0,6.0,10.0,3.0,0.0,124.0,61.0,12.0,2.0,0.0,100.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,2.0,10.0,0.0,1.0,391.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,145.0,2.0,5.0,42.0,19.0,10.0,39.0,634.0,0.0,791.0,0.0,4.0,1.0,6.0,0.0,0.0,6529.0,0.0,1.0,0.0,0.0,0.0,100.0,2.0,0.0,3944.0,7.0,0.0,0.0,3.0,0.0,3.0,1.0,8.0,28.0,7.0,11.0,0.0,0.0,0.0,0.0,41.0,153.0,2834.0,4.0,3516.0,0.0,0.0,5.0,0.0,318.0,0.0,0.0,424.0,62.0,279.0,2841.0,0.0,14.0,0.0,87.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,0.0,11.0,0.0,0.0,0.0,17.0,0.0,15.0,33.0,0.0,463.0,1008.0,18.0,198.0,0.0,1.0,0.0,204.0,289.0,0.0,0.0,2664.0,13.0,10.0,2160.0,0.0,7.0,0.0,6.0,33.0,0.0,0.0,3.0,20.0,2.0,430.0,0.0,0.0,0.0,0.0,270.0,2481.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,50.0,7657.0,0.0,445.0,4.0,39.0,1.0,3.0,7.0,5.0,0.0
site_54.22_12.09,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,270.0,110.0,0.0,0.0,0.0,94.0,1.0,3.0,173.0,0.0,0.0,1462.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,3.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,353.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,11.0,0.0,0.0,107.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,664.0,12.0,0.0,35813.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.0,0.0,3.0,0.0,399.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5276.0,0.0,3.0,0.0,3647.0,0.0,1.0,15.0,3.0,7.0,0.0,2.0,0.0,42.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,288.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,17.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,6262.0,0.0,0.0,0.0,0.0,0.0,5774.0,1.0,0.0,0.0,0.0,0.0,492.0,3.0,143.0,0.0,0.0,0.0,356.0,0.0,66.0,14.0,0.0,0.0,0.0,0.0,0.0
site_54.32_11.55,5683.0,0.0,3.0,0.0,0.0,41.0,36.0,0.0,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,294.0,0.0,1.0,36.0,0.0,6.0,131.0,0.0,0.0,0.0,3.0,0.0,0.0,485.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3569.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0,159.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,1.0,1.0,0.0,1.0,0.0,1801.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,1493.0,0.0,0.0,1.0,0.0,3.0,46.0,0.0,0.0,102.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,212.0,3.0,14.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,6.0,15.0,79.0,208.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,78.0,0.0,0.0,29.0,8.0,0.0,8.0,33.0,1.0,35.0,58.0,15.0,3.0,0.0,0.0,0.0,1.0,42.0,0.0,479.0,83.0,0.0,16.0,405.0,0.0,16.0,0.0,0.0,56.0,0.0,0.0,20.0,3.0,0.0,9.0,0.0,0.0,0.0,2.0,68.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1990.0,0.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
site_54.47_12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
